,index,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
101,101,bfs,1267,0.900954673,0,0,0,0.219217757,0,0.00206028,0,21094294.24,35459621.01,84.44626168,24.77616822,24.36635514,84.17429907,78.94461215,1333.736,20.49,0.00206028
102,102,bfs,1275,0.887921512,0,0,0,0.216667636,0,0.00209593,0,21874127.13,40811935.52,83.35077519,24.85707364,24.41327519,82.7747093,79.80945785,1360.311,21.09666667,0.00209593
103,103,bfs,1282,0.894969459,0,0,0,0.217257288,0,0.002104118,0,21807590.18,35309213.06,82.59740861,24.41508561,23.94261916,81.99444702,80.34106108,1380.634,21.08,0.002104118
104,104,bfs,1290,0.909692596,0,0,0,0.225351921,0,0.00209747,0,20887272.04,28851671.79,88.91377694,26.50609185,25.94189316,88.28865979,81.62039644,1337.558,20.47333333,0.00209747
105,105,bfs,1297,0.90202381,0,0,0,0.219597668,0,0.002051992,0,20170600.65,22474653.5,87.55247813,26.06851312,25.33381924,86.78862974,81.56527891,1349.775,20.73,0.002051992
106,106,bfs,1305,0.901027975,0,0,0,0.22009009,0,0.002033191,0,19927488.64,22505031.99,87.83072546,26.30440967,25.86723566,87.34803224,81.40599052,1355.228,20.50666667,0.002033191
107,107,bfs,1312,0.896072175,0,0,0,0.219934473,0,0.002039886,0,20558406.31,23295620.88,84.49145299,25.2991453,24.67568851,83.71794872,82.26630104,1395.577,20.94,0.002039886
108,108,bfs,1320,0.910011639,0,0,0,0.223979146,0,0.00200388,0,19587649.74,22006517.56,83.24927255,24.51648885,23.92628516,82.83171678,82.87781717,1398.953,20.74333333,0.00200388
109,109,bfs,1327,0.6885,0,0,0,0.00075,0,0.002,0,33024,41280,76.5,22.25,21.75,76.25,74.0825,161.496,20.90666667,0.002
110,110,bfs,1335,0.904226406,0,0,0,0.22820967,0,0.002124593,0,24517889.95,44609763.79,88.22315202,26.36401674,26.013947,87.62343096,84.12646258,1385.152,20.35333333,0.002124593
111,111,bfs,1342,0.90443703,0,0,0,0.222215695,0,0.002007989,0,21380833.83,36006284.31,86.03477444,25.72133459,25.21052632,85.53336466,85.44030639,1431.403,20.84,0.002007989
112,112,bfs,1350,0.913838695,0,0,0,0.225756683,0,0.002027186,0,19563992.5,30367218.72,85.18849116,25.42274581,24.68146806,84.42274581,85.94162664,1425.471,20.70666667,0.002027186
113,113,bfs,1357,0.898480355,0,0,0,0.222560337,0,0.001974743,0,22853376.55,46339966.33,84.20439663,25.50046773,24.6898971,83.41627689,86.7751043,1462.712,20.7,0.001974743
114,114,bfs,1365,0.903825784,0,0,0,0.224134395,0,0.002006969,0,21476803.87,33010565.79,86.3578895,25.83623693,25.57292185,85.85963166,86.88238079,1442.874,20.46666667,0.002006969
115,115,bfs,1372,0.900413416,0,0,0,0.218985252,0,0.001956232,0,20482727.32,22996884.84,86.62416746,25.77783064,25.31969553,86.35727878,87.95968459,1460.316,20.28666667,0.001956232
116,116,bfs,1380,0.931310992,0,0,0,0.127097855,0,0.001989276,0,10048984.66,11015232.88,86.43297587,26.02010724,25.38605898,85.60321716,82.83221716,261.697,20.98,0.001989276
117,117,bplustree,510,0.994235463,0,0,0,0.050845618,0,0.278481163,0,15311839.11,18964865.1,97.87059787,7.984848485,7.959049959,96.89271089,65.89306634,1087.119,30.69,0.278481163
118,118,bplustree,517,0.998048208,0,0,0,0.050920648,0,0.280002133,0,12986725.78,13165349.33,98.41467577,8.048208191,8.041382253,97.41894198,65.88700341,1081.857,30.91333333,0.280002133
119,119,bplustree,525,0.997427629,0,0,0,0.052199296,0,0.27716366,0,13964530.73,14084499.32,98.13110427,8.047514298,8.047514298,97.19489661,66.73335196,1076.325,30.81666667,0.27716366
120,120,bplustree,532,0.997706335,0,0,0,0.051970588,0,0.276904977,0,12145383.62,12115338.4,98.39321267,8.04841629,8.032579186,97.43438914,66.51865882,1071.942,30.97,0.276904977
121,121,bplustree,540,0.99828426,0,0,0,0.052856173,0,0.274386084,0,12161870.73,12176459.42,98.34959695,8.085277896,8.028425965,97.36232499,66.30235214,1052.283,30.91,0.274386084
122,122,bplustree,547,0.997840237,0,0,0,0.052523669,0,0.274295858,0,12552473.36,12745922.7,98.04860524,8.081572274,8.012679628,97.06551141,66.42077303,1055.675,30.88,0.274295858
123,123,bplustree,555,0.997699425,0,0,0,0.054026118,0,0.27163081,0,12885330.61,14124341.47,98.12660469,8.986719788,8.02124834,97.14608234,67.25563701,1046.39,30.82,0.27163081
124,124,bplustree,562,0.997851504,0,0,0,0.053530545,0,0.271232613,0,12951838.71,12965825.58,98.10244361,8.978853383,7.982142857,97.1799812,67.30456532,1051.401,30.63666667,0.271232613
125,125,bplustree,570,0.998205962,0,0,0,0.056594399,0,0.269096206,0,13022096.68,13127337.73,97.79494128,8.959801265,8.025745257,96.79268293,67.75770054,1036.228,30.94,0.269096206
