,Unnamed: 0,index,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active,predicted_power_usage,predicted_run_time,predicted_energy,n_power_usage,predicted_n_power_usage,n_run_time,predicted_n_run_time,predicted_n_energy,energy
72,72,72,bfs,1050,0.902613647,0,0,0,0.215810212,0.0,0.002183461,0,21808689.64,38881177.45,88.82241301,25.30094894,24.73971984,88.21644826,70.92507953,1189.118,20.51,0.002183461,70.88419353,20.71266429,1468.200504,4.275625015,70.86867892,3.068517943,20.71183073,1467.820082,1454.6733811603003
73,73,73,bfs,1057,0.902727441,0,0,0,0.214683017,0.0,0.002173068,0,20405278.39,32114842.77,88.08283202,25.13419713,24.67746414,87.57797316,70.77884683,1196.004,20.86666667,0.002173068,71.03054092,20.47704762,1454.495769,4.27358982,70.93098096,3.084963407,20.50484056,1454.428455,1476.9186040885963
74,74,74,bfs,1065,0.900709336,0,0,0,0.213200192,0.0,0.002186237,0,21008956.83,29841919.66,85.10683349,24.51106833,24.25168431,85.46438884,70.85559095,1220.024,20.85333333,0.002186237,70.73834247,20.53634524,1452.707023,4.274658424,70.76935481,3.084353465,20.57206565,1455.871813,1477.5752563744816
75,75,75,bfs,1072,0.905945622,0,0,0,0.215658065,0.0,0.002179263,0,22629958.28,53202515.63,88.44285714,25.39170507,24.90276498,87.8718894,70.98704931,1194.81,20.35,0.002179263,70.93376456,20.55849762,1458.29163,4.276486232,70.93648343,3.06105174,20.56400521,1458.738215,1444.5864534585003
76,76,76,bfs,1080,0.907235033,0,0,0,0.217089579,0.0,0.002184922,0,24418646.51,69091180.51,89.27006652,25.78758315,25.65011086,88.8962306,71.31788293,1191.894,20.48666667,0.002184922,71.12639693,20.65035952,1468.785668,4.281071442,71.18825901,3.067432588,20.63255917,1468.795966,1461.065695196993
77,77,77,bfs,1087,0.894639623,0,0,0,0.213263208,0.0,0.002210849,0,29328542.91,22872701.0,84.46698113,24.41084906,23.86415094,83.94811321,70.72055991,1226.98,20.85333333,0.002210849,71.07014507,20.45680476,1453.868082,4.272777456,71.08340525,3.084353465,20.49768484,1457.045238,1474.759409087465
78,78,78,bfs,1095,0.913612596,0,0,0,0.219212959,0.0,0.00209923,0,18809355.28,21365083.93,88.98731309,25.75260535,25.2646126,87.90258269,72.2450947,1198.16,20.64333333,0.00209923,73.68449984,20.67273333,1523.260016,4.293811279,74.15641137,3.074697478,20.65632806,1531.799161,1491.3795713495163
79,79,79,bfs,1102,0.897602934,0,0,0,0.213836252,0.0,0.002178419,0,20785182.85,30970560.15,89.29626124,25.75863701,25.29957407,88.68954094,71.50513583,1197.05,20.27,0.002178419,71.30908006,20.65927381,1473.19381,4.283657398,71.20154367,3.057297629,20.62581957,1468.590193,1449.4091032741
80,80,80,bfs,1110,0.904645736,0,0,0,0.216848641,0.0,0.002103561,0,20025405.07,22665520.06,85.1054358,24.62043112,24.16869728,84.68041237,72.22468416,1229.846,20.98666667,0.002103561,72.60895631,20.65214286,1499.530538,4.293532579,72.75728976,3.090436209,20.68594993,1505.053653,1515.7553718119489
81,81,81,bfs,1117,0.90283365,0,0,0,0.21648289,0.0,0.002139259,0,19623256.13,23759068.1,87.12214829,24.9581749,24.82176806,86.94153992,71.94926378,1218.825,20.5,0.002139259,72.25800699,20.65611191,1492.569479,4.289764183,72.22774933,3.068052935,20.65101555,1491.576375,1474.95990749
