,sm_app_clock,application,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active
323,1312,NAMD,0.414396333,0,0,0,0.036280683,0.002908314,0.117826631,0,2372246960,1110159367,25.13648677,3.172744322,2.66326318,24.66367993,73.46792915,6616.951,85.6998905,0.120734945
324,1320,LAMMPS,0.968563319,0,0,0,0.388541485,0.207967977,0.076149927,0,36282829.73,18609333.01,92.61572052,54.74381368,52.47161572,91.90684134,171.0208457,559.215,6,0.284117904
325,1320,LSTM,0.394696783,0,0,0,0.002180474,0,0.001119623,0,66817118.22,226821264.3,39.83185972,0,0,39.28694554,40.70451757,4909.51,123.1447863,0.001119623
326,1320,NAMD,0.429095094,0,0,0,0.036737195,0.002945537,0.120018803,0,2558464068,1114320182,24.62329803,3.080829911,2.635184785,24.10265831,74.28822261,6847.837,80.446747,0.12296434
327,1327,LAMMPS,0.983,0,0,0,0.358242105,0.201482707,0.085030075,0,23674079.87,89667316.46,93.58345865,55.10977444,54.7924812,92.84511278,174.8088932,466.845,6,0.286512782
328,1327,LSTM,0.39020611,0,0,0,0.002024017,0,0.001126896,0,58199975.49,192804113.5,39.36257022,0,0,38.88293539,40.25350344,4858.52,120.4422311,0.001126896
329,1327,NAMD,0.46791689,0,0,0,0.040298075,0.002998781,0.129147941,0,2640684897,1229092953,31.25054838,4.007555447,3.55520351,30.88252498,81.67584718,6031.923,83.727253,0.132146722
330,1335,LAMMPS,0.975144399,0,0,0,0.382526316,0.195720648,0.08062888,0,28611416.02,16626597.91,92.39946019,55.7705803,55.40890688,91.70985155,170.4496869,505.302,6,0.276349528
331,1335,LSTM,0.39692561,0,0,0,0.001727303,0,0.001145209,0,53638865.97,162250194.4,39.83819348,0,0,39.34358262,41.31714237,4910.695,116.671185,0.001145209
332,1335,NAMD,0.397517557,0,0,0,0.035074271,0.002473931,0.112603533,0,2189769469,996572918.9,25.68248564,3.302191956,2.825069164,25.05533092,75.148382,6448.003,89.3765985,0.115077464
333,1342,LAMMPS,0.938558946,0,0,0,0.363316227,0.183733703,0.076897365,0,41662424.96,221120509.1,89.42163662,53.55617198,53.17059639,88.69486824,170.7933259,521.388,6,0.260631068
334,1342,LSTM,0.409333699,0,0,0,0.001793016,0,0.00114222,0,55503901.51,170121235.2,41.11903128,0,0,40.6365258,41.35103732,4688.808,115.1997065,0.00114222
335,1342,NAMD,0.196,0,0,0,0.035074271,0,0.02,0,0,0,26,3,3,26,58.052,1.22,88.2182805,0.02
336,1350,LAMMPS,0.973995984,0,0,0,0.371681392,0.199248996,0.078293173,0,40135086.65,18499787.49,90.89424364,53.96787149,53.59839357,90.35475234,175.8861473,574.869,6,0.277542169
337,1350,LSTM,0.408401291,0,0,0,0.001722663,0,0.001150617,0,54571289.33,163054702.6,41.1165083,0,0,40.60913346,41.58139221,4738.314,115.3530917,0.001150617
338,1350,NAMD,0.444665917,0,0,0,0.039092238,0.002929809,0.12655613,0,2564610432,1200804849,29.06591676,3.759730034,3.312485939,28.67851519,79.1458162,6207.798,87.0540885,0.129485939
339,1357,LAMMPS,0.963422475,0,0,0,0.373897582,0.196489331,0.078716927,0,51244369.77,61612284.1,92.36130868,55.76102418,55,91.62162162,179.7288563,521.49,6,0.275206258
340,1357,LSTM,0.384501332,0,0,0,0.002016889,0,0.00114655,0,53099868.62,162574193.6,38.69273608,0,0,38.16513317,41.5441523,5147.761,119.6603758,0.00114655
341,1357,NAMD,0.426309103,0,0,0,0.03792066,0.002631736,0.124828021,0,2540766081,1161564639,27.31667049,3.541618895,3.034625086,26.81816097,78.03859207,6342.162,83.9168355,0.127459757
342,1365,LAMMPS,0.969328058,0,0,0,0.378148201,0.207758273,0.072654676,0,44985483.64,65247337.12,91.87625899,55.66330935,55.15107914,91.02877698,181.2051928,577.178,6,0.280412949
343,1365,LSTM,0.386143103,0,0,0,0.001771035,0,0.001131774,0,52959876.95,161801542.2,38.75871207,0,0,38.35252418,42.14952166,5196,120.7449605,0.001131774
344,1365,NAMD,0.426871548,0,0,0,0.036782845,0.002769456,0.119327824,0,2411928331,1067213768,25.97782427,3.355230126,2.864016736,25.52531381,77.73405607,6666.693,85.1496735,0.12209728
345,1372,LAMMPS,0.952538012,0,0,0,0.381951754,0.197957602,0.074138889,0,42088093.79,85841728.22,91.57163743,56.51900585,55.94298246,91,183.7458246,532.73,6,0.272096491
346,1372,LSTM,0.404206928,0,0,0,0.001753941,0,0.001134057,0,54666465.26,167705886.4,40.65493639,0,0,40.03982301,42.67998064,4850.818,117.7303204,0.001134057
347,1372,NAMD,0.436488144,0,0,0,0.038631555,0.002738486,0.12120839,0,2392620976,997557368,25.97925217,3.370269038,2.87254902,25.4626083,78.9992264,6666.959,82.8403815,0.123946876
348,1380,LAMMPS,0.938409605,0,0,0,0.361084746,0.208009887,0.078387006,0,61467907.58,239225465.3,89.9759887,54.41242938,53.83757062,89.3079096,179.0170424,590.585,6,0.286396893
349,1380,LSTM,0.399427013,0,0,0,0.001903515,0,0.001131026,0,54808338.24,167762764.5,40.17903313,0,0,39.79221654,42.67205918,4822.767,118.8705311,0.001131026
350,1380,NAMD,0.41469442,0,0,0,0.038420694,0.002467707,0.108779218,0,2387896218,1111940366,24.75637083,3.203427065,2.710456942,24.42508787,77.10350417,6919.683,83.9895475,0.111246925
